iter	R2	RMSE
393	0.5832869234	0.5606657578
394	0.5833144448	0.5606472431
395	0.5833660794	0.5606125051
396	0.5833743409	0.5606069469
397	0.5833919211	0.5605951188
398	0.5834190633	0.5605768571
399	0.5834479731	0.5605574053
400	0.5834611059	0.5605485688
401	0.5835033224	0.560520162
402	0.5835224674	0.5605072793
403	0.5835282747	0.5605033715
404	0.5835864082	0.560464251
405	0.5836005387	0.5604547416
406	0.5836240534	0.5604389164
407	0.5836860326	0.5603972031
408	0.5837178401	0.5603757948
409	0.5837423287	0.5603593119
410	0.5837615401	0.5603463808
411	0.583806516	0.5603161063
412	0.5838378278	0.5602950286
413	0.5838593921	0.560280512
414	0.5838920347	0.560258537
415	0.5838938488	0.5602573157
416	0.5839512864	0.5602186466
417	0.583991581	0.5601915171
418	0.584060181	0.5601453273
419	0.5840683767	0.5601398087
420	0.5840688816	0.5601394688
421	0.5840698181	0.5601388381
422	0.5841264785	0.5601006842
423	0.5841514722	0.5600838531
424	0.5841828873	0.560062697
425	0.5842192776	0.5600381895
426	0.5842903171	0.5599903439
427	0.5842951013	0.5599871216
428	0.5843271435	0.5599655395
429	0.5843527193	0.5599483123
430	0.5843539011	0.5599475163
431	0.5843877008	0.5599247488
432	0.5843881074	0.5599244749
433	0.5844270341	0.5598982527
434	0.5844762652	0.5598650873
435	0.5844940994	0.5598530725
436	0.5845084301	0.5598434178
437	0.5845395301	0.559822465
438	0.5845559258	0.5598114185
439	0.5845899151	0.5597885177
440	0.5846570126	0.5597433071
441	0.584663366	0.5597390259
442	0.5846907176	0.5597205951
443	0.5847298387	0.5596942323
444	0.5847563611	0.5596763588
445	0.5848098214	0.5596403301
446	0.5848434076	0.5596176939
447	0.5848712522	0.5595989268
448	0.5849148035	0.5595695722
449	0.5849605512	0.5595387355
450	0.5849863166	0.5595213673
451	0.5850707273	0.5594644632
452	0.5851289192	0.5594252306
453	0.5851571412	0.5594062026
454	0.5852381764	0.5593515629
455	0.585252959	0.5593415948
456	0.5852769765	0.5593253992
457	0.5853245687	0.5592933051
458	0.5853819624	0.5592545989
459	0.5854198225	0.5592290647
460	0.5854497944	0.5592088497
461	0.5854985949	0.559175934
462	0.5855622868	0.559132971
463	0.5855864833	0.5591166486
464	0.5855881265	0.5591155401
465	0.5855962211	0.5591100796
466	0.5856360718	0.5590831958
467	0.5856702913	0.5590601099
468	0.5856739392	0.5590576488
469	0.5856879591	0.5590481901
470	0.5857031466	0.5590379434
471	0.5857092087	0.5590338534
472	0.5857255811	0.5590228071
473	0.5857423622	0.5590114847
474	0.5857844297	0.5589831004
475	0.5858483844	0.5589399454
476	0.5858907409	0.5589113625
477	0.5858923539	0.5589102739
478	0.585906145	0.5589009671
479	0.585925025	0.5588882258
480	0.5859658775	0.5588606553
481	0.5860467263	0.558806088
482	0.5860598686	0.5587972174
483	0.5860755252	0.5587866495
484	0.5860928834	0.5587749329
485	0.5861470869	0.5587383442
486	0.5861665166	0.5587252282
487	0.5862021931	0.5587011438
488	0.5862024702	0.5587009568
489	0.5862226498	0.5586873336
490	0.5862376741	0.5586771905
491	0.5862451096	0.5586721706
492	0.5862781674	0.5586498521
493	0.5863005571	0.5586347354
494	0.5863441887	0.5586052759
495	0.5863553515	0.5585977387
496	0.5863791384	0.5585816772
497	0.5864277235	0.5585488699
498	0.5864549944	0.5585304543
499	0.5864860639	0.5585094728
